Author|Title|Publishing Date|author_wikidata_id|date_birth|date_death|author_description|origin|birth_place|gender|author_image|occupation
John G. B. Adams|Reminiscences of the Nineteenth Massachusetts Regiment|1899|http://www.wikidata.org/entity/Q6234442|6/10/1841|19/10/1900|United States Army Medal of Honor recipient|United States of America|Groveland|male|-|-
Elizabeth Cary Agassiz|Louis Agassiz: his life and correspondence, third edition|1885|http://www.wikidata.org/entity/Q272750|5/12/1822|27/6/1907|American educator|United States of America|Boston|female|http://commons.wikimedia.org/wiki/Special:FilePath/Elizabeth%20Cary%20Agassiz%2C%201852%20portrait.jpg|naturalist, philosopher, writer, biographer
Louisa May Alcott|Hospital Sketches: An Army Nurse's True Account of her Experience during the Civil War.|1863|http://www.wikidata.org/entity/Q185696|29/11/1832|6/3/1888|American novelist|United States of America|Germantown|female|http://commons.wikimedia.org/wiki/Special:FilePath/Louisa%20May%20Alcott%20headshot.jpg|writer, novelist, poet, children's writer, nurse, suffragette
Edward Porter Alexander|Military memoirs of a Confederate: a critical narrative|1907|http://www.wikidata.org/entity/Q1293272|26/5/1835|28/4/1910|Confederate Army general|United States of America|Washington|male|http://commons.wikimedia.org/wiki/Special:FilePath/Edward%20Porter%20Alexander.jpg|engineer, military personnel
Daniel Ammen|Confederate Military History, a library of Confederate States Military History: Volume 7.2, The Atlantic Coast|1899|http://www.wikidata.org/entity/Q5216405|15/5/1820|11/7/1898|United States Navy admiral|United States of America|Brown County|male|http://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Ammen.jpg|military officer
Eliza Frances Andrews|The war-time journal of a Georgia girl, 1864-1865|1908|http://www.wikidata.org/entity/Q5362133|10/8/1840|21/1/1931|American writer, botanist, and teacher|United States of America|Washington|female|http://commons.wikimedia.org/wiki/Special:FilePath/Eliza%20Frances%20Andrews.jpg|botanist, novelist, essayist, teacher
Alexander Kelly McClure|The Annals of the Civil War Written by Leading Participants North and South|1878|http://www.wikidata.org/entity/Q4719577|9/1/1828|6/6/1909|American politician|United States of America|-|male|http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Kelly%20McClure.jpg|politician, journalist, editor
Matthew Arnold|Civilization in the United States: First and Last Impressions of America.|1888|http://www.wikidata.org/entity/Q271032|24/12/1822|15/4/1888|English poet and cultural critic who worked as an inspector of schools|United Kingdom of Great Britain and Ireland|Laleham|male|http://commons.wikimedia.org/wiki/Special:FilePath/Matthew%20Arnold%20-%20Project%20Gutenberg%20eText%2016745.jpg|writer, poet, journalist, university teacher, literary critic
George B. Davis; Mr. Leslie J. Perry; Mr. Joseph W. Kirkley|The Atlanta (Georgia) Campaign: May 1 - September 8, 1864., Part I: General Report.|1891|http://www.wikidata.org/entity/Q50314062|13/2/1847|16/12/1914|Judge Advocate General of the United States Army|-|Ware|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Breckenridge%20Davis.jpg|writer
Adam Badeau|Grant in peace: from Appomattox to Mount McGregor, a personal memoir|1887|http://www.wikidata.org/entity/Q15429844|29/12/1831|19/3/1895|American diplomat|United States of America|New York City|male|http://commons.wikimedia.org/wiki/Special:FilePath/Col.%20Adam%20Badeau%20-%20NARA%20-%20526750.jpg|diplomat
Adam Badeau|Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 1|1885|http://www.wikidata.org/entity/Q15429844|29/12/1831|19/3/1895|American diplomat|United States of America|New York City|male|http://commons.wikimedia.org/wiki/Special:FilePath/Col.%20Adam%20Badeau%20-%20NARA%20-%20526750.jpg|diplomat
Adam Badeau|Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 2|1885|http://www.wikidata.org/entity/Q15429844|29/12/1831|19/3/1895|American diplomat|United States of America|New York City|male|http://commons.wikimedia.org/wiki/Special:FilePath/Col.%20Adam%20Badeau%20-%20NARA%20-%20526750.jpg|diplomat
Adam Badeau|Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 3|1885|http://www.wikidata.org/entity/Q15429844|29/12/1831|19/3/1895|American diplomat|United States of America|New York City|male|http://commons.wikimedia.org/wiki/Special:FilePath/Col.%20Adam%20Badeau%20-%20NARA%20-%20526750.jpg|diplomat
George Bancroft|History of the Colonization of the United States, Vol. 1, 17th edition.|1859|http://www.wikidata.org/entity/Q618616|30/9/1882|2/10/1956|actor|United States of America|Philadelphia|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor
George Bancroft|History of the United States from the Discovery of the American Continent, Vol. 10|1874|http://www.wikidata.org/entity/Q618616|30/9/1882|2/10/1956|actor|United States of America|Philadelphia|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor
George Bancroft|History of the United States from the Discovery of the American Continent, Vol. 2, 17th edition.|1859|http://www.wikidata.org/entity/Q618616|30/9/1882|2/10/1956|actor|United States of America|Philadelphia|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor
George Bancroft|History of the United States from the Discovery of the American Continent, Vol. 3, 15th edition.|1860|http://www.wikidata.org/entity/Q618616|30/9/1882|2/10/1956|actor|United States of America|Philadelphia|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor
George Bancroft|History of the United States from the Discovery of the American Continent, Vol. 4, 15th edition.|1859|http://www.wikidata.org/entity/Q618616|30/9/1882|2/10/1956|actor|United States of America|Philadelphia|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor
George Bancroft|History of the United States from the Discovery of the American Continent, Vol. 5, 13th edition.|1860|http://www.wikidata.org/entity/Q618616|30/9/1882|2/10/1956|actor|United States of America|Philadelphia|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor
George Bancroft|History of the United States from the Discovery of the American Continent, Vol. 7, 4th edition.|1860|http://www.wikidata.org/entity/Q618616|30/9/1882|2/10/1956|actor|United States of America|Philadelphia|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor
George Bancroft|History of the United States from the Discovery of the American Continent, Vol. 8|1860|http://www.wikidata.org/entity/Q618616|30/9/1882|2/10/1956|actor|United States of America|Philadelphia|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor
James Barnes|The Photographic History of The Civil War: in ten volumes, Thousands of Scenes Photographed 1861-65, with Text by many Special Authorities, Volume 6: The Navy.|1912|http://www.wikidata.org/entity/Q6129373|1/1/1842|1/1/2000|Canadian politician|Canada|-|male|-|politician
John Beatty|The Citizen-Soldier; or, Memoirs of a Volunteer|1879|http://www.wikidata.org/entity/Q6221266|16/12/1828|4/12/1914|Union Army General|United States of America|-|male|http://commons.wikimedia.org/wiki/Special:FilePath/John%20Beatty.jpg|politician, military officer
Fannie A. Beers|Memories: a record of personal exeperience and adventure during four years of war.|1888|-|-|-|-|-|-|-|-|-
A. J. Bennett|The story of the First Massachusetts Light Battery , attached to the Sixth Army Corps : glance at events in the armies of the Potomac and Shenandoah, from the summer of 1861 to the autumn of 1864.|1886|http://www.wikidata.org/entity/Q4722915|1/1/1861|1/1/1923|British artist|-|-|male|-|painter, etcher
William W. Bennett|A narrative of the great revival which prevailed in the Southern armies during the late Civil War|1877|http://www.wikidata.org/entity/Q8019759|4/2/1841|13/6/1912|New Jersey politician|United States of America|Derbyshire|male|http://commons.wikimedia.org/wiki/Special:FilePath/William%20Weaver%20Bennett%20circa%201900%20crop.jpg|politician
Isaac O. Best|History of the 121st New York State Infantry|1921|-|-|-|-|-|-|-|-|-
John D. Billings|Hardtack and Coffee: The Unwritten Story of Army Life|1888|-|-|-|-|-|-|-|-|-
John D. Billings|The history of the Tenth Massachusetts battery of light artillery in the war of the rebellion|1909|-|-|-|-|-|-|-|-|-
Heros von Borcke|Memoirs of the Confederate War for Independence|1866|http://www.wikidata.org/entity/Q214433|23/7/1835|10/5/1895|Confederate Army officer|Germany|Ehrenbreitstein Fortress|male|http://commons.wikimedia.org/wiki/Special:FilePath/Heros-Borcke-2.jpg|writer
William Boynton|Sherman's Historical Raid|1875|http://www.wikidata.org/entity/Q8005812|-|-|-|-|-|-|-|-
Wiley Britton|Memoirs of the Rebellion on the Border 1863.|1882|-|-|-|-|-|-|-|-|-
L. P. Brockett|The camp, the battlefield, and the hospital: or, lights and shadows of the great rebellion|1866|-|-|-|-|-|-|-|-|-
L. P. Brockett|Women's work in the civil war: a record of heroism, patriotism and patience|1867|-|-|-|-|-|-|-|-|-
