Booknb|Title|Author|Publishing Date|author_wikidata_id|date_birth|author|author_description|origin|gender|author_image|occupation
0|Reminiscences of the Nineteenth Massachusetts Regiment|John G. B. Adams|1899|Groveland|1841-10-06T00:00:00Z|John G. B. Adams|United States Army Medal of Honor recipient|United States of America|male||
1|Louis Agassiz: his life and correspondence, third edition|Elizabeth Cary Agassiz|1885|Boston|1822-12-05T00:00:00Z|Elizabeth Cabot Agassiz|American educator|United States of America|female|http://commons.wikimedia.org/wiki/Special:FilePath/Elizabeth%20Cary%20Agassiz%2C%201852%20portrait.jpg|naturalist, philosopher, writer, biographer
10|Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 1|Adam Badeau|1885|New York City|1831-12-29T00:00:00Z|Adam Badeau|American diplomat|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Col.%20Adam%20Badeau%20-%20NARA%20-%20526750.jpg|diplomat
100|Carlyle's laugh and other surprises|Thomas Wentworth Higginson|1909|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
101|Cheerful Yesterdays|Thomas Wentworth Higginson|1898|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
102|Harvard Memorial Biographies|Thomas Wentworth Higginson|1866|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
103|Henry Wadsworth Longfellow|Thomas Wentworth Higginson|1902|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
104|In a fair country|Thomas Wentworth Higginson; Irene E. Jerome.|1890|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
105|John Greenleaf Whittier|Thomas Wentworth Higginson|1902|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
106|Letters and Journals of Thomas Wentworth Higginson|Thomas Wentworth Higginson|1921|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
107|Margaret Fuller Ossoli|Thomas Wentworth Higginson|1890|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
11|Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 2|Adam Badeau|1885|New York City|1831-12-29T00:00:00Z|Adam Badeau|American diplomat|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Col.%20Adam%20Badeau%20-%20NARA%20-%20526750.jpg|diplomat
110|Massachusetts in the Army and Navy during the war of 1861-1865, vol. 1: prelminary narrative|Thomas Wentworth Higginson|1895|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
111|Massachusetts in the Army and Navy during the war of 1861-1865, vol. 2|Thomas Wentworth Higginson|1895|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
112|The new world and the new book|Thomas Wentworth Higginson|1892|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
113|Olde Cambridge|Thomas Wentworth Higginson|1900|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
114|Oldport days, with ten heliotype illustrations from views taken in Newport, R. I., expressly for this work.|Thomas Wentworth Higginson|1873|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
115|Reader's History of American Literature|Thomas Wentworth Higginson; Henry Walcott Boynton|1903|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
116|Short studies of American authors|Thomas Wentworth Higginson|1880|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
117|Women and Men|Thomas Wentworth Higginson|1888|Cambridge|1823-12-22T00:00:00Z|Thomas Wentworth Higginson|Union United States Army officer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|writer, politician, poet
118|Confederate Military History, a library of Confederate States Military History: Volume 4, North Carolina|D. H. Hill, Jr.|1899||||||||
119|Life and Campaigns of George B. McClellan, Major-General, U. S. Army|G. S. Hillard|1864||||||||
12|Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 3|Adam Badeau|1885|New York City|1831-12-29T00:00:00Z|Adam Badeau|American diplomat|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Col.%20Adam%20Badeau%20-%20NARA%20-%20526750.jpg|diplomat
120|Historic leaves, volume 1, April, 1902 - January, 1903|Somerville Historical Society|1903||||||||
121|Historic leaves, volume 2, April, 1903 - January, 1904|Somerville Historical Society|1904||||||||
122|Historic leaves, volume 3, April, 1904 - January, 1905|Somerville Historical Society|1905||||||||
123|Historic leaves, volume 4, April, 1905 - January, 1906|Somerville Historical Society|1906||||||||
124|Historic leaves, volume 5, April, 1906 - January, 1907|Somerville Historical Society|1907||||||||
125|Historic leaves, volume 6, April, 1907 - January, 1908|Somerville Historical Society|1908||||||||
126|Historic leaves, volume 7, April, 1908 - January, 1909|Somerville Historical Society|1909||||||||
127|Historic leaves, volume 8, April, 1909 - January, 1910|Somerville Historical Society|1910||||||||
128|History of the First Universalist Church in Somerville, Mass. Illustrated; a souvenir of the fiftieth anniversary celebrated February 15-21, 1904|Medford Historical Society|1905||||||||
129|HISTORY OF THE TOWN OF MEDFORD, Middlesex County, Massachusetts, FROM ITS FIRST SETTLEMENT, IN 1630, TO THE PRESENT TIME, 1855.|Charles Brooks|1855|2011-09-29T00:00:00Z|1920-11-22T00:00:00Z|Charles Brooks|cartoonist|United States of America|male||editorial cartoonist, trade unionist, cricketer
13|History of the Colonization of the United States, Vol. 1, 17th edition.|George Bancroft|1859|Philadelphia|1882-09-30T00:00:00Z|George Bancroft|actor|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor, historian, politician, writer, diplomat, academic, historian of the modern age, translator
130|Advance and Retreat: Personal Experiences in the United States and Confederate Armies|John Bell Hood.|1880||||||||
131|Confederate Military History, a library of Confederate States Military History: Volume 12.2, Mississippi|Colonel Charles E. Hooker|1899||||||||
132|Confederate Military History, a library of Confederate States Military History: Volume 3, Virginia|Maj. Jed. Hotchkiss|1899||||||||
133|Autobiography of Oliver Otis Howard, major general, United States army: volume 1|Oliver Otis Howard|1908|Leeds|1830-11-08T00:00:00Z|Oliver Otis Howard|United States Army Medal of Honor recipient and Union Army general|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Oliver%20Otis%20Howard.jpg|military officer, historian, biographer
134|Autobiography of Oliver Otis Howard, major general, United States army: volume 2|Oliver Otis Howard|1908|Leeds|1830-11-08T00:00:00Z|Oliver Otis Howard|United States Army Medal of Honor recipient and Union Army general|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Oliver%20Otis%20Howard.jpg|historian, military officer, biographer
135|Reminiscences: 1819-1899|Jula Ward Howe|1899||||||||
136|The abolitionists together with personal memories of the struggle for human rights|John F. Hume|1905|Bovina|1830-09-07T00:00:00Z|John F. Hume|U.S. banker, broker, politician and newspaper editor|United States of America|male||politician, writer, banker, editor, stockbroker
137|Confederate Military History, a library of Confederate States Military History: Volume 2.1, Maryland|Brig.-Gen. Bradley T. Johnson|1899||||||||
138|Battles and Leaders of the Civil War. Volume 3. |Robert Underwood Johnson; Clarence Clough Buell|1887|Washington, D.C.|1853-01-12T00:00:00Z|Robert Underwood Johnson|American journalist|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Underwood%20Johnson%200001.jpg|historian, poet, journalist
139|Battles and Leaders of the Civil War. Volume 4.|Robert Underwood Johnson; Clarence Clough Buell|1887|Washington, D.C.|1853-01-12T00:00:00Z|Robert Underwood Johnson|American journalist|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Underwood%20Johnson%200001.jpg|historian, poet, journalist
14|History of the United States from the Discovery of the American Continent, Vol. 10|George Bancroft|1874|Philadelphia|1882-09-30T00:00:00Z|George Bancroft|actor|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor, historian, politician, writer, diplomat, academic, historian of the modern age, translator
141|Battles and Leaders of the Civil War: The Opening Battles. Volume 1. |Robert Underwood Johnson; Clarence Clough Buell|1887|Washington, D.C.|1853-01-12T00:00:00Z|Robert Underwood Johnson|American journalist|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Underwood%20Johnson%200001.jpg|historian, poet, journalist
142|Battles and Leaders of the Civil War: Volume 2. |Robert Underwood Johnson; Clarence Clough Buell|1887|Washington, D.C.|1853-01-12T00:00:00Z|Robert Underwood Johnson|American journalist|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Underwood%20Johnson%200001.jpg|historian, poet, journalist
143|Confederate Military History, a library of Confederate States Military History: Volume 9.1, Kentucky|Col. J. Stoddard Johnston|1899||||||||
144|The Life of General Albert Sidney Johnston: His Service in the Armies of the United States, the Republic of Texas, and the Confederate States.|Colonel William Preston Johnston|1879||||||||
145|Narrative of Military Operations During the Civil War |General Joseph E. Johnston|1874||||||||
146|Summary of the Art of War, or a New Analytical Compend of the Principle Combinations of Strategy, of Grand Tactics and of Military Policy. |Baron de Jomini|1854||||||||
147|A Rebel War Clerk's Diary|J. B. Jones|1866|http://www.wikidata.org/entity/Q54645498||J. B. Jones|||||researcher, publisher, novelist, journalist, diarist, editor, professor, chemist, researcher
148|Christ in the camp, or religion in Lee's army|J. William Jones|1887|Louisa County|1836-01-01T00:00:00Z|J. William Jones|American preacher|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/John%20William%20Jones%20DD.jpg|military chaplain, author, politician
149|Knight's Mechanical Encyclopedia|Knight|1877|Langton Long Blandford|1785-05-03T00:00:00Z|John Baverstock Knight|English land surveyor and painter|Kingdom of Great Britain|male||painter, land surveyor, cricketer, botanist, botanist, ichthyologist, painter, painter, land surveyor
15|History of the United States from the Discovery of the American Continent, Vol. 2, 17th edition.|George Bancroft|1859|Philadelphia|1882-09-30T00:00:00Z|George Bancroft|actor|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|military officer, historian, writer, politician, historian of the modern age, academic, diplomat, actor, film actor, stage actor, translator
150|General Lee|Fitzhugh Lee|1894|Fairfax County|1835-11-19T00:00:00Z|Fitzhugh Lee|Confederate Army general|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Fitzhugh%20Lee%20Governor.jpg|politician
151|Life and public services of Charles Sumner: Born Jan. 6, 1811. Died March 11, 1874.|C. Edwards Lester|1874|1890-01-01T00:00:00Z|1815-01-01T00:00:00Z|Charles Edwards Lester|American historian|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/C%20Edwards%20Lester.jpg|historian, lawyer, biographer
152|Debates of Lincoln and Douglas: Carefully Prepared by the Reporters of Each Party at the times of their Delivery.|Abraham Lincoln; Stephen A. Douglas|1860|http://www.wikidata.org/entity/Q27807440||Abraham Lincoln|India film director|India|male||film director, lawyer, politician, statesperson, military personnel
153|Horace Greeley Founder and Editor of The New York Tribune|William Alexander Linn|1903|1917-02-23T00:00:00Z|1846-09-04T00:00:00Z|William Alexander Linn|American journalist|United States of America|male||historian, journalist
154|Reminiscences of a Soldier's Wife: An Autobiography |Mrs. John A. Logan|1913|Petersburg, Missouri|1838-08-15T00:00:00Z|Mary Simmerson Cunningham Logan|American writer and editor||female|http://commons.wikimedia.org/wiki/Special:FilePath/LOGAN%2C%20JOHN%20A.%2C%20MRS.%20LCCN2016857111%20%28cropped%29.jpg|writer, editor
155|From Manassas to Appomattox |General James Longstreet|1895||||||||
156|Pictorial Field Book of the Civil War. Volume 1. |Benson J. Lossing|1876||||||||
157|Pictorial Field Book of the Civil War. Volume 2. |Benson J. Lossing|1870||||||||
158|Pictorial Field Book of the Civil War. Volume 3. |Benson J. Lossing|1874||||||||
159|Among my books|James Russell Lowell|1876|Cambridge|1819-02-22T00:00:00Z|James Russell Lowell|American poet, critic, editor, and diplomat|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/James%20Russell%20Lowell%20-%201855.jpg|literary critic, writer, poet, journalist, essayist, diplomat
16|History of the United States from the Discovery of the American Continent, Vol. 3, 15th edition.|George Bancroft|1860|Philadelphia|1882-09-30T00:00:00Z|George Bancroft|actor|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor, historian, politician, writer, diplomat, academic, historian of the modern age, translator
160|With Grant and Meade from the Wilderness to Appomattox|Colonel Theodore Lyman|1922||||||||
161|Diary of a southern refugee during the war, by a lady of Virginia|Judith White McGuire|1867||||||||
162|The Life and Letters of George Gordon Meade, Major-General United States Army|George Meade|1913|Cádiz|1815-12-31T00:00:00Z|George Meade|Union Army general|Spain|male|http://commons.wikimedia.org/wiki/Special:FilePath/Meade1Colorized.jpg|engineer, military personnel, engineer, military personnel
163|Medford Historical Society Papers, Volume 1.|Medford Historical Society|1898||||||||
164|Medford Historical Society Papers, Volume 10.|Medford Historical Society|1907||||||||
165|Medford Historical Society Papers, Volume 11.|Medford Historical Society|1908||||||||
166|Medford Historical Society Papers, Volume 12.|Medford Historical Society|1909||||||||
167|Medford Historical Society Papers, Volume 13.|Medford Historical Society|1910||||||||
168|Medford Historical Society Papers, Volume 14.|Medford Historical Society|1911||||||||
169|Medford Historical Society Papers, Volume 15.|Medford Historical Society|1912||||||||
17|History of the United States from the Discovery of the American Continent, Vol. 4, 15th edition.|George Bancroft|1859|Philadelphia|1882-09-30T00:00:00Z|George Bancroft|actor|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor, historian, politician, writer, diplomat, academic, historian of the modern age, translator
170|Medford Historical Society Papers, Volume 15.|Medford Historical Society|1912||||||||
171|Medford Historical Society Papers, Volume 16.|Medford Historical Society|1913||||||||
172|Medford Historical Society Papers, Volume 17.|Medford Historical Society|1914||||||||
173|Medford Historical Society Papers, Volume 18.|Medford Historical Society|1915||||||||
174|Medford Historical Society Papers, Volume 2.|Medford Historical Society|1899||||||||
175|Medford Historical Society Papers, Volume 20.|Medford Historical Society|1917||||||||
176|Medford Historical Society Papers, Volume 22.|Medford Historical Society|1919||||||||
177|Medford Historical Society Papers, Volume 22.|Medford Historical Society|1919||||||||
178|Medford Historical Society Papers, Volume 23.|Medford Historical Society|1920||||||||
179|Medford Historical Society Papers, Volume 24.|Medford Historical Society|1921||||||||
18|History of the United States from the Discovery of the American Continent, Vol. 5, 13th edition.|George Bancroft|1860|Philadelphia|1882-09-30T00:00:00Z|George Bancroft|actor|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|military officer, historian, writer, politician, historian of the modern age, academic, diplomat, actor, film actor, stage actor, translator
180|Medford Historical Society Papers, Volume 25.|Medford Historical Society|1922||||||||
181|Medford Historical Society Papers, Volume 25.|Medford Historical Society|1922||||||||
182|Medford Historical Society Papers, Volume 26.|Medford Historical Society|1923||||||||
183|Medford Historical Society Papers, Volume 28.|Medford Historical Society|1925||||||||
184|Medford Historical Society Papers, Volume 29.|Medford Historical Society|1926||||||||
185|Medford Historical Society Papers, Volume 3.|Medford Historical Society|1900||||||||
186|Medford Historical Society Papers, Volume 30.|Medford Historical Society|1927||||||||
187|Medford Historical Society Papers, Volume 4.|Medford Historical Society|1901||||||||
188|Medford Historical Society Papers, Volume 5.|Medford Historical Society|1902||||||||
189|Medford Historical Society Papers, Volume 6.|Medford Historical Society|1903||||||||
190|Medford Historical Society Papers, Volume 7.|Medford Historical Society|1904||||||||
191|Medford Historical Society Papers, Volume 8.|Medford Historical Society|1905||||||||
192|Medford Historical Society Papers, Volume 9.|Medford Historical Society|1906||||||||
193|Confederate Military History, a library of Confederate States Military History: Volume 9.2, Missouri|Col. John C. Moore|1899||||||||
194|The Life and Times of Charles Sumner: His Boyhood, Education and Public Career.|Elias Nason|1874|1887-06-17T00:00:00Z|1811-04-21T00:00:00Z|Elias Nason|American writer||male||writer
195|McClellan's Own Story: the war for the union, the soldiers who fought it, the civilians who directed it, and his relations to them.|Elias Nason|1887|1887-06-17T00:00:00Z|1811-04-21T00:00:00Z|Elias Nason|American writer||male||writer
196|Waltham, past, present and its industries, with an historical sketch of Watertown from its settlement in 1630 to the incorporation of Waltham, January 15, 1739.|Charles A. Nelson, A. M.|1879||||||||
197|The Outbreak of Rebellion|John G. Nicolay|1881||||||||
198|A Short Life of Abraham Lincoln, condensed from Nicolay and Hayes' Abraham Lincoln: A History|John G. Nicolay|1902||||||||
199|Prison Life in Dixie: giving a short history of the inhuman and barbarous treatment of our soldiers by rebel authorities|Sergeant Oats|1880||||||||
2|Hospital Sketches: An Army Nurse's True Account of her Experience during the Civil War.|Louisa May Alcott|1863|Germantown|1832-11-29T00:00:00Z|Louisa May Alcott|American novelist|United States of America|female|http://commons.wikimedia.org/wiki/Special:FilePath/Louisa%20May%20Alcott%20headshot.jpg|writer, poet, children's writer, novelist, suffragette, nurse
20|History of the United States from the Discovery of the American Continent, Vol. 7, 4th edition.|George Bancroft|1860|Philadelphia|1882-09-30T00:00:00Z|George Bancroft|actor|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|actor, military officer, film actor, stage actor, historian, politician, writer, diplomat, academic, historian of the modern age, translator
200|Official Records of the Union and Confederate Armies, Chapter XXII: Operations in Kentucky, Tennessee, North Mississippi, North Alabama, and Southwest Virginia. March 4-June 10, 1862.|Lieut. Col. Robert N. Scott|1884||||||||
201|Official Records of the Union and Confederate Armies, Chapter XXII: Operations in Kentucky, Tennessee, North Mississippi, North Alabama, and Southwest Virginia. March 4-June 10, 1862., Part II: Correspondence, Orders, and Returns.|Lieut. Col. Robert N. Scott|1884||||||||
202|History of Cambridge, Massachusetts, 1630-1877, with a genealogical register|Lucius R. Paige|1877||||||||
203|History of the Civil War in America. Vol. 1.|Comte de Paris|1876||||||||
204|History of the Civil War in America. Vol. 2.|Comte de Paris|1876||||||||
205|History of the Civil War in America. Vol. 3.|Comte de Paris|1883||||||||
206|History of the Civil War in America. Vol. 4.|Comte de Paris|1888||||||||
207|The life of Horace Greeley|James Parton|1855|Canterbury|1822-02-09T00:00:00Z|James Parton|American biographer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/James%20Parton%20-%20Schriftsteller.jpg|author, writer, biographer
208|Women of the age; being natives of the lives and deeds of the most prominent women of the present gentlemen|James Parton; Horace Greeley; T. W. Higginson; J. S. C. Abbott; E. M. Hoppin; William Winter; Theodore Tilton; Fanny Fern; Grace Greenwood; Mrs. E. C. Stanton|1871|Canterbury|1822-02-09T00:00:00Z|James Parton|American biographer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/James%20Parton%20-%20Schriftsteller.jpg|writer, author, biographer
209|The American spirit in lierature: a chronicle of great interpreters|Bliss Perry|1921|1954-01-01T00:00:00Z|1860-01-01T00:00:00Z|Bliss Perry|American academic|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Bliss%20Perry.jpg|writer
21|History of the United States from the Discovery of the American Continent, Vol. 8|George Bancroft|1860|Philadelphia|1882-09-30T00:00:00Z|George Bancroft|actor|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/George%20Bancroft%20%281882%20%E2%80%931956%29.jpg|military officer, historian, writer, politician, historian of the modern age, academic, diplomat, actor, film actor, stage actor, translator
210|Speeches, Lectures and Letters of Wendell Phillips: Volume 1|Wendell Phillips; Theodore C. Pease|1891|Boston|1811-11-29T00:00:00Z|Wendell Phillips|American abolitionist, advocate for Native Americans, orator and lawyer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Wendell%20Phillips%20by%20Brady.jpg|lawyer, jurist, archaeologist, politician
211|Speeches, Lectures and Letters of Wendell Phillips: Volume 2|Wendell Phillips; Theodore C. Pease|1891|Boston|1811-11-29T00:00:00Z|Wendell Phillips|American abolitionist, advocate for Native Americans, orator and lawyer|United States of America|male|http://commons.wikimedia.org/wiki/Special:FilePath/Wendell%20Phillips%20by%20Brady.jpg|lawyer, politician, jurist, archaeologist
