Booknb,Title,Author,Date
0,Reminiscences of the Nineteenth Massachusetts Regiment,John G. B. Adams,1899
1,"Louis Agassiz: his life and correspondence, third edition",Elizabeth Cary Agassiz,1885
10,Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 1,Adam Badeau,1885
100,Carlyle's laugh and other surprises,Thomas Wentworth Higginson,1909
101,Cheerful Yesterdays,Thomas Wentworth Higginson,1898
102,Harvard Memorial Biographies,Thomas Wentworth Higginson,1866
103,Henry Wadsworth Longfellow,Thomas Wentworth Higginson,1902
104,In a fair country,Thomas Wentworth Higginson; Irene E. Jerome.,1890
105,John Greenleaf Whittier,Thomas Wentworth Higginson,1902
106,Letters and Journals of Thomas Wentworth Higginson,Thomas Wentworth Higginson,1921
107,Margaret Fuller Ossoli,Thomas Wentworth Higginson,1890
11,Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 2,Adam Badeau,1885
110,"Massachusetts in the Army and Navy during the war of 1861-1865, vol. 1: prelminary narrative",Thomas Wentworth Higginson,1895
111,"Massachusetts in the Army and Navy during the war of 1861-1865, vol. 2",Thomas Wentworth Higginson,1895
112,The new world and the new book,Thomas Wentworth Higginson,1892
113,Olde Cambridge,Thomas Wentworth Higginson,1900
114,"Oldport days, with ten heliotype illustrations from views taken in Newport, R. I., expressly for this work.",Thomas Wentworth Higginson,1873
115,Reader's History of American Literature,Thomas Wentworth Higginson; Henry Walcott Boynton,1903
116,Short studies of American authors,Thomas Wentworth Higginson,1880
117,Women and Men,Thomas Wentworth Higginson,1888
118,"Confederate Military History, a library of Confederate States Military History: Volume 4, North Carolina","D. H. Hill, Jr.",1899
119,"Life and Campaigns of George B. McClellan, Major-General, U. S. Army",G. S. Hillard,1864
12,Military history of Ulysses S. Grant from April 1861 to April 1865. Volume 3,Adam Badeau,1885
120,"Historic leaves, volume 1, April, 1902 - January, 1903",Somerville Historical Society,1903
121,"Historic leaves, volume 2, April, 1903 - January, 1904",Somerville Historical Society,1904
122,"Historic leaves, volume 3, April, 1904 - January, 1905",Somerville Historical Society,1905
123,"Historic leaves, volume 4, April, 1905 - January, 1906",Somerville Historical Society,1906
124,"Historic leaves, volume 5, April, 1906 - January, 1907",Somerville Historical Society,1907
125,"Historic leaves, volume 6, April, 1907 - January, 1908",Somerville Historical Society,1908
126,"Historic leaves, volume 7, April, 1908 - January, 1909",Somerville Historical Society,1909
127,"Historic leaves, volume 8, April, 1909 - January, 1910",Somerville Historical Society,1910
128,"History of the First Universalist Church in Somerville, Mass. Illustrated; a souvenir of the fiftieth anniversary celebrated February 15-21, 1904",Medford Historical Society,1905
129,"HISTORY OF THE TOWN OF MEDFORD, Middlesex County, Massachusetts, FROM ITS FIRST SETTLEMENT, IN 1630, TO THE PRESENT TIME, 1855.",Charles Brooks,1855
13,"History of the Colonization of the United States, Vol. 1, 17th edition.",George Bancroft,1859
130,Advance and Retreat: Personal Experiences in the United States and Confederate Armies,John Bell Hood.,1880
131,"Confederate Military History, a library of Confederate States Military History: Volume 12.2, Mississippi",Colonel Charles E. Hooker,1899
132,"Confederate Military History, a library of Confederate States Military History: Volume 3, Virginia",Maj. Jed. Hotchkiss,1899
133,"Autobiography of Oliver Otis Howard, major general, United States army: volume 1",Oliver Otis Howard,1908
134,"Autobiography of Oliver Otis Howard, major general, United States army: volume 2",Oliver Otis Howard,1908
135,Reminiscences: 1819-1899,Jula Ward Howe,1899
136,The abolitionists together with personal memories of the struggle for human rights,John F. Hume,1905
137,"Confederate Military History, a library of Confederate States Military History: Volume 2.1, Maryland",Brig.-Gen. Bradley T. Johnson,1899
138,Battles and Leaders of the Civil War. Volume 3. ,Robert Underwood Johnson; Clarence Clough Buell,1887
139,Battles and Leaders of the Civil War. Volume 4.,Robert Underwood Johnson; Clarence Clough Buell,1887
14,"History of the United States from the Discovery of the American Continent, Vol. 10",George Bancroft,1874
